,subject_id,condition,choice,rt,gp,p1,last_stage_favours,m1,m0,gm,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0
0,4-TwoStageMixtureNoScaling,exp_46,0.0,0.1028,0.5,0.48,1.0,0.79,0.1699999999999999,0.5,0.81,0.0,0.0,TwoStageBetween,0.2487,0.0521
1,4-TwoStageMixtureNoScaling,exp_42,0.0,0.3028,0.5,0.48,0.0,0.79,0.1699999999999999,0.5,0.81,0.0,0.0,TwoStageBetween,0.2487,0.0521
2,4-TwoStageMixtureNoScaling,exp_80,0.0,0.5548,0.5,0.29,1.0,0.8099999999999999,0.22,0.5,0.61,0.0,0.0,TwoStageBetween,0.3081,0.1213
3,4-TwoStageMixtureNoScaling,exp_57,0.0,0.5751,0.6,0.21,1.0,0.62,0.18,0.4,0.41,1.0,0.0,TwoStageBetween,0.3732,0.2723
4,4-TwoStageMixtureNoScaling,exp_37,0.0,0.3507,0.4,0.7,0.0,0.32,0.2,0.6,0.79,1.0,0.0,TwoStageBetween,0.3,0.1092
5,4-TwoStageMixtureNoScaling,exp_101,0.0,0.352,0.4,0.38,0.0,0.6900000000000001,0.49,0.6,0.58,1.0,0.0,TwoStageBetween,0.3701,0.2616
6,4-TwoStageMixtureNoScaling,catch_3,0.0,0.1773,0.5,0.38,1.0,0.6799999999999999,0.58,0.5,0.19,1.0,0.0,TwoStageBetween,0.3626,0.2378
7,4-TwoStageMixtureNoScaling,exp_23,0.0,1.0365,0.4,0.17,1.0,0.8300000000000001,0.43,0.6,0.28,1.0,0.0,TwoStageBetween,0.4025,0.4774
8,4-TwoStageMixtureNoScaling,exp_73,1.0,0.196,0.6,0.2,1.0,0.6799999999999999,0.4,0.4,0.8,1.0,1.0,TwoStageBetween,0.2987,0.8926
9,4-TwoStageMixtureNoScaling,exp_50,0.0,0.0641,0.5,0.32,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,0.0,TwoStageBetween,0.3968,0.6043
10,4-TwoStageMixtureNoScaling,exp_1,1.0,0.7623,0.6,0.49,1.0,0.8300000000000001,0.53,0.4,0.79,1.0,1.0,TwoStageBetween,0.3901,0.6514
11,4-TwoStageMixtureNoScaling,exp_22,0.0,0.2944,0.5,0.17,1.0,0.8300000000000001,0.43,0.5,0.28,0.0,0.0,TwoStageBetween,0.3787,0.2933
12,4-TwoStageMixtureNoScaling,exp_102,0.0,0.6409,0.5,0.38,1.0,0.6900000000000001,0.49,0.5,0.58,0.0,0.0,TwoStageBetween,0.4023,0.4723
13,4-TwoStageMixtureNoScaling,exp_115,0.0,0.6477,0.6,0.22,0.0,0.79,0.42,0.4,0.49,1.0,0.0,TwoStageBetween,0.3748,0.2782
14,4-TwoStageMixtureNoScaling,catch_6,0.0,0.3075,0.5,0.59,1.0,0.27,0.19,0.5,0.23,0.0,0.0,TwoStageBetween,0.2362,0.0422
15,4-TwoStageMixtureNoScaling,exp_91,0.0,0.0659,0.6,0.38,0.0,0.4,0.3,0.4,0.5,1.0,0.0,TwoStageBetween,0.3662,0.2486
16,4-TwoStageMixtureNoScaling,catch_4,0.0,0.1891,0.5,0.31,1.0,0.73,0.4,0.5,0.19,0.0,0.0,TwoStageBetween,0.2458,0.0497
17,4-TwoStageMixtureNoScaling,exp_52,0.0,1.0796,0.5,0.32,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,0.0,TwoStageBetween,0.3968,0.6043
18,4-TwoStageMixtureNoScaling,exp_89,1.0,0.2225,0.6,0.38,1.0,0.4,0.3,0.4,0.5,1.0,1.0,TwoStageBetween,0.3896,0.6546
19,4-TwoStageMixtureNoScaling,exp_99,0.0,0.6464,0.6,0.38,0.0,0.6900000000000001,0.49,0.4,0.58,1.0,0.0,TwoStageBetween,0.3761,0.2831
20,4-TwoStageMixtureNoScaling,exp_25,1.0,0.7871,0.6,0.17,1.0,0.3,0.2,0.4,0.3,1.0,1.0,TwoStageBetween,0.3749,0.7214
21,4-TwoStageMixtureNoScaling,exp_47,0.0,0.2331,0.4,0.48,1.0,0.79,0.1699999999999999,0.6,0.81,1.0,0.0,TwoStageBetween,0.2951,0.1025
22,4-TwoStageMixtureNoScaling,exp_36,1.0,0.8279,0.5,0.7,0.0,0.32,0.2,0.5,0.79,0.0,1.0,TwoStageBetween,0.3617,0.2351
23,4-TwoStageMixtureNoScaling,exp_15,1.0,0.1111,0.4,0.29,1.0,0.5,0.18,0.6,0.7,1.0,1.0,TwoStageBetween,0.3993,0.42
24,4-TwoStageMixtureNoScaling,exp_20,1.0,0.0936,0.5,0.17,0.0,0.8300000000000001,0.43,0.5,0.28,0.0,1.0,TwoStageBetween,0.3787,0.2933
25,4-TwoStageMixtureNoScaling,exp_60,0.0,0.5627,0.5,0.21,0.0,0.62,0.18,0.5,0.41,0.0,0.0,TwoStageBetween,0.3075,0.1204
26,4-TwoStageMixtureNoScaling,exp_58,0.0,0.1583,0.5,0.21,0.0,0.62,0.18,0.5,0.41,0.0,0.0,TwoStageBetween,0.3075,0.1204
27,4-TwoStageMixtureNoScaling,catch_5,1.0,0.4659,0.5,0.49,1.0,0.43,0.32,0.5,0.4,1.0,1.0,TwoStageBetween,0.3939,0.3728
28,4-TwoStageMixtureNoScaling,exp_9,1.0,1.0852,0.6,0.29,1.0,0.5,0.18,0.4,0.7,1.0,1.0,TwoStageBetween,0.4026,0.4846
29,4-TwoStageMixtureNoScaling,exp_116,0.0,0.1744,0.5,0.22,0.0,0.79,0.42,0.5,0.49,0.0,0.0,TwoStageBetween,0.4017,0.4552
