,subject_id,condition,choice,rt,gp,p1,last_stage_favours,m1,m0,gm,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0
0,11-TwoStageBetween,exp_90,1.0,1.7673,0.5,0.38,0.0,0.4,0.3,0.5,0.5,0.0,1.0,TwoStageBetween,1.1262,0.3687
1,11-TwoStageBetween,exp_98,1.0,0.9879,0.5,0.38,0.0,0.6900000000000001,0.49,0.5,0.58,0.0,1.0,TwoStageBetween,1.1272,0.372
2,11-TwoStageBetween,exp_64,1.0,1.3698,0.5,0.51,1.0,0.52,0.42,0.5,0.72,0.0,1.0,TwoStageBetween,1.1401,0.4365
3,11-TwoStageBetween,exp_91,1.0,0.8548,0.6,0.38,0.0,0.4,0.3,0.4,0.5,1.0,1.0,TwoStageBetween,1.1326,0.3932
4,11-TwoStageBetween,exp_53,1.0,0.6653,0.4,0.32,0.0,0.82,0.6900000000000001,0.6,0.49,1.0,1.0,TwoStageBetween,1.1429,0.4714
5,11-TwoStageBetween,exp_99,0.0,0.9435,0.6,0.38,0.0,0.6900000000000001,0.49,0.4,0.58,1.0,0.0,TwoStageBetween,1.1346,0.4026
6,11-TwoStageBetween,exp_50,1.0,1.448,0.5,0.32,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,1.0,TwoStageBetween,1.1432,0.487
7,11-TwoStageBetween,exp_57,0.0,1.4447,0.6,0.21,1.0,0.62,0.18,0.4,0.41,1.0,0.0,TwoStageBetween,0.8991,0.1074
8,11-TwoStageBetween,exp_101,0.0,0.2176,0.4,0.38,0.0,0.6900000000000001,0.49,0.6,0.58,1.0,0.0,TwoStageBetween,1.1199,0.3491
9,11-TwoStageBetween,exp_113,1.0,1.0148,0.6,0.22,1.0,0.79,0.42,0.4,0.49,1.0,1.0,TwoStageBetween,1.113,0.3307
10,11-TwoStageBetween,exp_107,0.0,3.6955,0.6,0.4,0.0,0.3,0.21,0.4,0.78,1.0,0.0,TwoStageBetween,1.1425,0.4622
11,11-TwoStageBetween,exp_23,0.0,0.6226,0.4,0.17,1.0,0.8300000000000001,0.43,0.6,0.28,1.0,0.0,TwoStageBetween,1.0123,0.186
12,11-TwoStageBetween,exp_84,0.0,1.1757,0.5,0.29,0.0,0.8099999999999999,0.22,0.5,0.61,0.0,0.0,TwoStageBetween,0.8345,0.0781
13,11-TwoStageBetween,catch_4,0.0,0.7341,0.5,0.31,1.0,0.73,0.4,0.5,0.19,0.0,0.0,TwoStageBetween,0.876,0.096
14,11-TwoStageBetween,exp_35,0.0,1.0361,0.6,0.7,0.0,0.32,0.2,0.4,0.79,1.0,0.0,TwoStageBetween,1.0719,0.2546
15,11-TwoStageBetween,exp_42,0.0,1.083,0.5,0.48,0.0,0.79,0.1699999999999999,0.5,0.81,0.0,0.0,TwoStageBetween,0.7213,0.0423
