,subject_id,condition,choice,rt,g1,p1,g0,last_stage_favours,m1,m0,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0
0,2-TwoStageBetween,exp_90,0.0,0.3351,0.4,0.38,0.6,0.0,0.4,0.3,0.5,0.0,0.0,TwoStageWithin,0.3812,0.5951
1,2-TwoStageBetween,exp_27,1.0,0.0723,0.5,0.17,0.5,0.0,0.3,0.2,0.3,1.0,1.0,TwoStageWithin,0.3736,0.6527
2,2-TwoStageBetween,catch_0,0.0,0.1294,0.5,0.72,0.5,1.0,0.3,0.2,0.19,0.0,0.0,TwoStageWithin,0.1561,0.0076
3,2-TwoStageBetween,catch_4,0.0,0.1645,0.5,0.31,0.5,1.0,0.73,0.4,0.19,0.0,0.0,TwoStageWithin,0.2735,0.09
4,2-TwoStageBetween,exp_47,0.0,0.2963,0.5,0.48,0.5,1.0,0.79,0.1699999999999999,0.81,1.0,0.0,TwoStageWithin,0.3067,0.1411
5,2-TwoStageBetween,exp_37,1.0,0.7973,0.5,0.7,0.5,0.0,0.32,0.2,0.79,1.0,1.0,TwoStageWithin,0.3677,0.3158
6,2-TwoStageBetween,catch_5,0.0,0.1013,0.5,0.49,0.5,1.0,0.43,0.32,0.4,1.0,0.0,TwoStageWithin,0.3217,0.1709
7,2-TwoStageBetween,exp_19,1.0,0.6239,0.5,0.17,0.5,0.0,0.8300000000000001,0.43,0.28,1.0,1.0,TwoStageWithin,0.3805,0.6016
8,2-TwoStageBetween,exp_29,0.0,0.4457,0.5,0.17,0.5,0.0,0.3,0.2,0.3,1.0,0.0,TwoStageWithin,0.3736,0.6527
9,2-TwoStageBetween,exp_50,1.0,0.5684,0.4,0.32,0.6,0.0,0.82,0.6900000000000001,0.49,0.0,1.0,TwoStageWithin,0.3077,0.857
10,2-TwoStageBetween,exp_82,1.0,0.1881,0.4,0.29,0.6,0.0,0.8099999999999999,0.22,0.61,0.0,1.0,TwoStageWithin,0.3855,0.5255
11,2-TwoStageBetween,exp_20,0.0,0.8746,0.6,0.17,0.4,0.0,0.8300000000000001,0.43,0.28,0.0,0.0,TwoStageWithin,0.3831,0.5733
12,2-TwoStageBetween,exp_78,1.0,0.0746,0.6,0.2,0.4,1.0,0.6799999999999999,0.4,0.8,0.0,1.0,TwoStageWithin,0.1369,0.9963
13,2-TwoStageBetween,exp_43,0.0,0.0805,0.5,0.48,0.5,0.0,0.79,0.1699999999999999,0.81,1.0,0.0,TwoStageWithin,0.3067,0.1411
14,2-TwoStageBetween,exp_64,0.0,0.4123,0.4,0.51,0.6,1.0,0.52,0.42,0.72,0.0,0.0,TwoStageWithin,0.3151,0.8428
15,2-TwoStageBetween,exp_60,0.0,0.6362,0.6,0.21,0.4,0.0,0.62,0.18,0.41,0.0,0.0,TwoStageWithin,0.3856,0.4778
16,2-TwoStageBetween,exp_52,1.0,0.0868,0.6,0.32,0.4,0.0,0.82,0.6900000000000001,0.49,0.0,1.0,TwoStageWithin,0.3077,0.857
17,2-TwoStageBetween,exp_57,0.0,0.0814,0.5,0.21,0.5,1.0,0.62,0.18,0.41,1.0,0.0,TwoStageWithin,0.3858,0.507
18,2-TwoStageBetween,exp_69,0.0,0.4789,0.5,0.51,0.5,0.0,0.52,0.42,0.72,1.0,0.0,TwoStageWithin,0.3227,0.8268
19,2-TwoStageBetween,exp_73,1.0,0.0989,0.5,0.2,0.5,1.0,0.6799999999999999,0.4,0.8,1.0,1.0,TwoStageWithin,0.1396,0.9958
20,2-TwoStageBetween,exp_1,1.0,0.2467,0.5,0.49,0.5,1.0,0.8300000000000001,0.53,0.79,1.0,1.0,TwoStageWithin,0.294,0.8806
