,subject_id,condition,choice,rt,p1,gp,m0,p0,presentation01,m1,gm,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0
0,5,exp_82,0.0,0.4334049999997951,0.29,0.5,0.22000000000000003,0.61,0.0,0.8099999999999999,0.5,0.0,1.0,TwoStageBetween,0.7442,0.6326
1,5,exp_59,0.0,0.2748100000008708,0.21,0.6,0.18,0.41,1.0,0.62,0.4,0.0,1.0,TwoStageBetween,0.6719,0.7884
2,5,exp_23,1.0,0.2360850000004284,0.17,0.4,0.43,0.28,1.0,0.8300000000000001,0.6,1.0,0.0,TwoStageBetween,0.7606,0.531
3,5,exp_20,1.0,0.645484999999986,0.17,0.5,0.43,0.28,0.0,0.8300000000000001,0.5,0.0,0.0,TwoStageBetween,0.7242,0.6925
4,5,exp_35,1.0,0.4256249999997672,0.7,0.6,0.2,0.79,1.0,0.32,0.4,0.0,0.0,TwoStageBetween,0.7549,0.4155
5,5,exp_67,0.0,0.4447199999995064,0.51,0.6,0.42000000000000004,0.72,1.0,0.52,0.4,0.0,1.0,TwoStageBetween,0.6324,0.8369
6,5,exp_58,0.0,0.761484999999986,0.21,0.5,0.18,0.41,0.0,0.62,0.5,0.0,1.0,TwoStageBetween,0.7554,0.5789
7,5,exp_26,0.0,0.587864999999525,0.17,0.5,0.2,0.3,0.0,0.3,0.5,0.0,1.0,TwoStageBetween,0.6063,0.8627
8,5,catch_5,1.0,1.3174699999999722,0.49,0.5,0.32,0.4,1.0,0.43,0.5,1.0,0.0,TwoStageBetween,0.5862,0.1198
9,5,exp_98,0.0,0.42713999999978114,0.38,0.5,0.49000000000000005,0.58,0.0,0.6900000000000001,0.5,0.0,1.0,TwoStageBetween,0.6767,0.7814
10,5,exp_68,0.0,0.3376800000005169,0.51,0.5,0.42000000000000004,0.72,0.0,0.52,0.5,0.0,1.0,TwoStageBetween,0.6818,0.7738
11,5,exp_113,0.0,0.47636499999952503,0.22,0.6,0.42000000000000004,0.49,1.0,0.79,0.4,1.0,1.0,TwoStageBetween,0.4513,0.9578
12,5,exp_37,1.0,0.3107399999998743,0.7,0.4,0.2,0.79,1.0,0.32,0.6,0.0,0.0,TwoStageBetween,0.717,0.2893
13,5,exp_116,0.0,0.6408799999998882,0.22,0.5,0.42000000000000004,0.49,0.0,0.79,0.5,0.0,1.0,TwoStageBetween,0.5404,0.913
14,5,exp_25,0.0,0.7972200000004377,0.17,0.6,0.2,0.3,1.0,0.3,0.4,1.0,1.0,TwoStageBetween,0.5386,0.9142
15,5,exp_80,1.0,1.0187049999994924,0.29,0.5,0.22000000000000003,0.61,0.0,0.8099999999999999,0.5,1.0,0.0,TwoStageBetween,0.7442,0.6326
16,5,exp_99,0.0,0.32099499999999537,0.38,0.6,0.49000000000000005,0.58,1.0,0.6900000000000001,0.4,0.0,1.0,TwoStageBetween,0.6128,0.8566
17,5,exp_96,0.0,0.6398049999998184,0.38,0.5,0.49000000000000005,0.58,0.0,0.6900000000000001,0.5,1.0,1.0,TwoStageBetween,0.6767,0.7814
18,5,exp_15,0.0,0.815400000000489,0.29,0.4,0.18,0.7,1.0,0.5,0.6,1.0,1.0,TwoStageBetween,0.7338,0.6669
19,5,exp_117,0.0,0.5772950000000419,0.22,0.4,0.42000000000000004,0.49,1.0,0.79,0.6,0.0,1.0,TwoStageBetween,0.6396,0.8289
20,5,exp_60,0.0,0.3509350000004051,0.21,0.5,0.18,0.41,0.0,0.62,0.5,0.0,1.0,TwoStageBetween,0.7554,0.5789
21,5,exp_18,1.0,0.621729999999865,0.17,0.5,0.43,0.28,0.0,0.8300000000000001,0.5,0.0,0.0,TwoStageBetween,0.7242,0.6925
22,5,exp_91,0.0,0.43573999999987434,0.38,0.6,0.3,0.5,1.0,0.4,0.4,0.0,1.0,TwoStageBetween,0.7036,0.7368
23,5,exp_47,1.0,0.34915999999979974,0.48,0.4,0.16999999999999996,0.81,1.0,0.79,0.6,1.0,0.0,TwoStageBetween,0.5957,0.1277
24,5,catch_4,1.0,0.446030000000028,0.31,0.5,0.4,0.19,0.0,0.73,0.5,1.0,0.0,TwoStageBetween,0.3502,0.0137
25,5,exp_104,0.0,0.3514699999996228,0.4,0.5,0.21000000000000002,0.78,0.0,0.3,0.5,1.0,1.0,TwoStageBetween,0.5263,0.9217
26,5,exp_88,0.0,0.5845150000004796,0.38,0.5,0.3,0.5,0.0,0.4,0.5,1.0,1.0,TwoStageBetween,0.7373,0.6565
27,5,catch_3,1.0,0.4753950000003679,0.38,0.5,0.58,0.19,1.0,0.6799999999999999,0.5,1.0,0.0,TwoStageBetween,0.3619,0.016
28,5,exp_69,0.0,0.3138649999999907,0.51,0.4,0.42000000000000004,0.72,1.0,0.52,0.6,0.0,1.0,TwoStageBetween,0.7125,0.7191
29,5,exp_40,1.0,0.4452750000000233,0.48,0.5,0.16999999999999996,0.81,0.0,0.79,0.5,1.0,0.0,TwoStageBetween,0.7119,0.2786
30,5,exp_107,0.0,0.3753349999997299,0.4,0.6,0.21000000000000002,0.78,1.0,0.3,0.4,0.0,1.0,TwoStageBetween,0.4477,0.9592
31,5,exp_19,1.0,0.3188849999996601,0.17,0.6,0.43,0.28,1.0,0.8300000000000001,0.4,0.0,0.0,TwoStageBetween,0.6493,0.8177
32,5,catch_2,1.0,0.29278499999968327,0.6,0.5,0.22000000000000003,0.38,0.0,0.4,0.5,1.0,0.0,TwoStageBetween,0.3634,0.0164
33,5,catch_0,1.0,0.35294000000064263,0.72,0.5,0.2,0.19,0.0,0.3,0.5,1.0,0.0,TwoStageBetween,0.2065,0.0006
