,subject_id,condition,choice,rt,m1,p1,m0,last_stage_favours,presentation01,g1,g0,p0,choice_formatted,model,pred_mean_rt,pred_p_choose_0
0,62-alternatives,exp_30,0.0,0.13229999999701977,0.3,0.17,0.2,1.0,0.0,0.6,0.4,0.3,1.0,TwoStageWithin,0.326,0.5902
1,62-alternatives,exp_108,0.0,0.207,0.3,0.4,0.21000000000000002,0.0,0.0,0.6,0.4,0.78,1.0,TwoStageWithin,0.261,0.8608
2,62-alternatives,catch_0,1.0,0.23229999999701978,0.3,0.72,0.2,1.0,0.0,0.5,0.5,0.19,0.0,TwoStageWithin,0.155,0.016
3,62-alternatives,exp_84,1.0,0.2408999999985099,0.8099999999999999,0.29,0.22000000000000003,0.0,0.0,0.6,0.4,0.61,0.0,TwoStageWithin,0.3282,0.5566
4,62-alternatives,exp_96,0.0,0.2068999999985099,0.6900000000000001,0.38,0.49000000000000005,1.0,0.0,0.4,0.6,0.58,1.0,TwoStageWithin,0.3051,0.7288
5,62-alternatives,exp_50,0.0,0.17089999999850988,0.82,0.32,0.6900000000000001,0.0,0.0,0.4,0.6,0.49,1.0,TwoStageWithin,0.2701,0.8404
6,62-alternatives,exp_42,1.0,0.22420000000298024,0.79,0.48,0.16999999999999996,0.0,0.0,0.4,0.6,0.81,0.0,TwoStageWithin,0.2822,0.191
7,62-alternatives,exp_78,0.0,0.4408000000044704,0.6799999999999999,0.2,0.4,1.0,0.0,0.6,0.4,0.8,1.0,TwoStageWithin,0.1507,0.9859
8,62-alternatives,catch_8,1.0,0.34820000000298024,0.5,0.32,0.37,1.0,0.0,0.5,0.5,0.22,0.0,TwoStageWithin,0.2862,0.2028
9,62-alternatives,exp_68,0.0,0.17740000000596046,0.52,0.51,0.42000000000000004,0.0,0.0,0.6,0.4,0.72,1.0,TwoStageWithin,0.2864,0.7967
10,62-alternatives,exp_10,0.0,0.2753999999985099,0.5,0.29,0.18,0.0,0.0,0.4,0.6,0.7,1.0,TwoStageWithin,0.2977,0.7587
11,62-alternatives,exp_20,1.0,0.28120000000298023,0.8300000000000001,0.17,0.43,0.0,0.0,0.6,0.4,0.28,0.0,TwoStageWithin,0.3244,0.6074
12,62-alternatives,exp_58,1.0,0.5557999999970198,0.62,0.21,0.18,0.0,0.0,0.4,0.6,0.41,0.0,TwoStageWithin,0.3293,0.5265
13,62-alternatives,catch_6,1.0,0.21629999999701977,0.27,0.59,0.19,1.0,0.0,0.5,0.5,0.23,0.0,TwoStageWithin,0.2093,0.0583
14,62-alternatives,exp_40,1.0,0.2329000000059605,0.79,0.48,0.16999999999999996,1.0,0.0,0.4,0.6,0.81,0.0,TwoStageWithin,0.268,0.1546
15,62-alternatives,exp_26,0.0,0.153,0.3,0.17,0.2,0.0,0.0,0.4,0.6,0.3,1.0,TwoStageWithin,0.3194,0.6503
16,62-alternatives,exp_116,0.0,0.4583000000044704,0.79,0.22,0.42000000000000004,0.0,0.0,0.6,0.4,0.49,1.0,TwoStageWithin,0.2714,0.8373
17,62-alternatives,catch_2,1.0,0.05989999999850989,0.4,0.6,0.22000000000000003,1.0,0.0,0.5,0.5,0.38,0.0,TwoStageWithin,0.2079,0.0567
