,subject_id,condition,choice,rt,presentation01,p0,p1,g1,last_stage_favours,m1,m0,g0,choice_formatted,model,pred_mean_rt,pred_p_choose_0
0,71-alternatives,catch_4,1.0,0.30189999999850986,0.0,0.19,0.31,0.5,1.0,0.73,0.4,0.5,0.0,TwoStageWithin,0.3249,0.009
1,71-alternatives,exp_52,0.0,0.4795,0.0,0.49,0.32,0.6,0.0,0.82,0.6900000000000001,0.4,1.0,TwoStageWithin,0.5505,0.9103
2,71-alternatives,exp_26,1.0,0.5380999999977648,0.0,0.3,0.17,0.4,0.0,0.3,0.2,0.6,0.0,TwoStageWithin,0.7624,0.5831
3,71-alternatives,exp_82,1.0,0.5512999999970197,0.0,0.61,0.29,0.4,0.0,0.8099999999999999,0.22000000000000003,0.6,0.0,TwoStageWithin,0.4765,0.0505
4,71-alternatives,exp_46,1.0,0.22960000000149008,0.0,0.81,0.48,0.6,1.0,0.79,0.16999999999999996,0.4,0.0,TwoStageWithin,0.2067,0.0005
5,71-alternatives,exp_22,1.0,0.2504000000022352,0.0,0.28,0.17,0.6,1.0,0.8300000000000001,0.43,0.4,0.0,TwoStageWithin,0.7456,0.3445
6,71-alternatives,exp_20,1.0,0.7834000000022352,0.0,0.28,0.17,0.6,0.0,0.8300000000000001,0.43,0.4,0.0,TwoStageWithin,0.7466,0.3478
7,71-alternatives,exp_94,0.0,0.3948999999985099,0.0,0.5,0.38,0.6,1.0,0.4,0.3,0.4,1.0,TwoStageWithin,0.7687,0.4756
8,71-alternatives,exp_8,0.0,0.45309999999776485,0.0,0.7,0.29,0.4,1.0,0.5,0.18,0.6,1.0,TwoStageWithin,0.7575,0.3891
9,71-alternatives,exp_114,1.0,0.31560000000149013,0.0,0.49,0.22,0.4,0.0,0.79,0.42000000000000004,0.6,0.0,TwoStageWithin,0.6931,0.7672
10,71-alternatives,exp_60,1.0,0.46,0.0,0.41,0.21,0.6,0.0,0.62,0.18,0.4,0.0,TwoStageWithin,0.626,0.1495
11,71-alternatives,exp_58,1.0,0.5516999999992549,0.0,0.41,0.21,0.4,0.0,0.62,0.18,0.6,0.0,TwoStageWithin,0.6363,0.1599
12,71-alternatives,exp_90,0.0,0.3915,0.0,0.5,0.38,0.4,0.0,0.4,0.3,0.6,1.0,TwoStageWithin,0.7691,0.5087
13,71-alternatives,exp_84,1.0,0.654,0.0,0.61,0.29,0.6,0.0,0.8099999999999999,0.22000000000000003,0.4,0.0,TwoStageWithin,0.4609,0.044
14,71-alternatives,exp_64,0.0,0.3923999999985099,0.0,0.72,0.51,0.4,1.0,0.52,0.42000000000000004,0.6,1.0,TwoStageWithin,0.6763,0.792
15,71-alternatives,exp_78,0.0,0.23059999999776482,0.0,0.8,0.2,0.6,1.0,0.6799999999999999,0.4,0.4,1.0,TwoStageWithin,0.2642,0.9971
16,71-alternatives,exp_42,1.0,0.30959999999776483,0.0,0.81,0.48,0.4,0.0,0.79,0.16999999999999996,0.6,0.0,TwoStageWithin,0.2128,0.0007
17,71-alternatives,catch_0,1.0,0.3406000000014901,0.0,0.19,0.72,0.5,1.0,0.3,0.2,0.5,0.0,TwoStageWithin,0.2695,0.0032
18,71-alternatives,exp_40,1.0,0.34370000000298023,0.0,0.81,0.48,0.4,1.0,0.79,0.16999999999999996,0.6,0.0,TwoStageWithin,0.2123,0.0007
19,71-alternatives,exp_88,0.0,0.3949000000022352,0.0,0.5,0.38,0.4,1.0,0.4,0.3,0.6,1.0,TwoStageWithin,0.7692,0.5051
20,71-alternatives,exp_116,0.0,0.6411999999992549,0.0,0.49,0.22,0.6,0.0,0.79,0.42000000000000004,0.4,1.0,TwoStageWithin,0.7092,0.7398
21,71-alternatives,exp_80,1.0,0.5464000000022352,0.0,0.61,0.29,0.4,1.0,0.8099999999999999,0.22000000000000003,0.6,0.0,TwoStageWithin,0.4749,0.0498
22,71-alternatives,catch_2,1.0,0.2625,0.0,0.38,0.6,0.5,1.0,0.4,0.22000000000000003,0.5,0.0,TwoStageWithin,0.3087,0.0069
23,71-alternatives,exp_74,0.0,0.3165,0.0,0.8,0.2,0.4,0.0,0.6799999999999999,0.4,0.6,1.0,TwoStageWithin,0.2561,0.9976
24,71-alternatives,exp_98,0.0,0.7278999999985099,0.0,0.58,0.38,0.4,0.0,0.6900000000000001,0.49000000000000005,0.6,1.0,TwoStageWithin,0.7251,0.7077
