,subject_id,condition,choice,rt,p1,gp,last_stage_favours,p0,gm,m1,presentation01,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0
0,65,exp_45,1.0,0.46379999999981375,0.48,0.4,0.0,0.81,0.6,0.79,1.0,0.16999999999999996,0.0,TwoStageBetween,0.6822,0.1746
1,65,catch_1,1.0,0.409,0.41,0.5,1.0,0.29,0.5,0.5900000000000001,1.0,0.42000000000000004,0.0,TwoStageBetween,0.4629,0.0365
2,65,catch_3,1.0,0.4172000000001863,0.38,0.5,1.0,0.19,0.5,0.6799999999999999,1.0,0.58,0.0,TwoStageBetween,0.3464,0.0097
3,65,exp_40,1.0,0.3304000000003725,0.48,0.5,1.0,0.81,0.5,0.79,0.0,0.16999999999999996,0.0,TwoStageBetween,0.6889,0.182
4,65,exp_53,0.0,0.33870000000018624,0.32,0.4,0.0,0.49,0.6,0.82,1.0,0.6900000000000001,1.0,TwoStageBetween,0.6332,0.8712
5,65,exp_9,0.0,0.6567999999998138,0.29,0.6,1.0,0.7,0.4,0.5,1.0,0.18,1.0,TwoStageBetween,0.654,0.8531
6,65,exp_26,0.0,0.422,0.17,0.5,0.0,0.3,0.5,0.3,0.0,0.2,1.0,TwoStageBetween,0.626,0.877
7,65,exp_101,0.0,0.4400999999996274,0.38,0.4,0.0,0.58,0.6,0.6900000000000001,1.0,0.49000000000000005,1.0,TwoStageBetween,0.7153,0.7841
8,65,exp_18,1.0,0.4297999999998137,0.17,0.5,0.0,0.28,0.5,0.8300000000000001,0.0,0.43,0.0,TwoStageBetween,0.775,0.672
9,65,exp_23,1.0,0.6943999999994412,0.17,0.4,1.0,0.28,0.6,0.8300000000000001,1.0,0.43,0.0,TwoStageBetween,0.7707,0.6831
10,65,exp_59,0.0,0.5030999999996274,0.21,0.6,0.0,0.41,0.4,0.62,1.0,0.18,1.0,TwoStageBetween,0.8057,0.4886
11,65,exp_98,0.0,0.6792000000001862,0.38,0.5,0.0,0.58,0.5,0.6900000000000001,0.0,0.49000000000000005,1.0,TwoStageBetween,0.709,0.7926
12,65,exp_42,1.0,0.6060999999996275,0.48,0.5,0.0,0.81,0.5,0.79,0.0,0.16999999999999996,0.0,TwoStageBetween,0.6889,0.182
13,65,exp_82,0.0,0.3778999999994412,0.29,0.5,0.0,0.61,0.5,0.8099999999999999,0.0,0.22000000000000003,1.0,TwoStageBetween,0.8019,0.5613
