,subject_id,condition,choice,rt,presentation01,g0,g1,p0,p1,m1,last_stage_favours,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0
0,18-TwoStageBetween,exp_29,1.0,0.6031,1.0,0.5,0.5,0.3,0.17,0.3,0.0,0.2,1.0,TwoStageWithin,0.6557,0.5549
1,18-TwoStageBetween,exp_18,1.0,0.436,0.0,0.6,0.4,0.28,0.17,0.8300000000000001,0.0,0.43,1.0,TwoStageWithin,0.6528,0.4197
2,18-TwoStageBetween,catch_0,0.0,0.2465,0.0,0.5,0.5,0.19,0.72,0.3,1.0,0.2,0.0,TwoStageWithin,0.369,0.0343
3,18-TwoStageBetween,exp_10,0.0,0.2096,0.0,0.6,0.4,0.7,0.29,0.5,0.0,0.18,0.0,TwoStageWithin,0.6561,0.4491
4,18-TwoStageBetween,exp_80,0.0,0.1026,0.0,0.6,0.4,0.61,0.29,0.8099999999999999,1.0,0.22,0.0,TwoStageWithin,0.5914,0.2325
5,18-TwoStageBetween,exp_89,0.0,0.2749,1.0,0.5,0.5,0.5,0.38,0.4,1.0,0.3,0.0,TwoStageWithin,0.6582,0.5081
6,18-TwoStageBetween,exp_47,0.0,0.1727,1.0,0.5,0.5,0.81,0.48,0.79,1.0,0.1699999999999999,0.0,TwoStageWithin,0.3129,0.0165
7,18-TwoStageBetween,exp_36,0.0,0.2624,0.0,0.4,0.6,0.79,0.7,0.32,0.0,0.2,0.0,TwoStageWithin,0.5525,0.1732
8,18-TwoStageBetween,exp_116,0.0,0.9227,0.0,0.4,0.6,0.49,0.22,0.79,0.0,0.42,0.0,TwoStageWithin,0.6486,0.6058
9,18-TwoStageBetween,exp_73,1.0,0.1144,1.0,0.5,0.5,0.8,0.2,0.6799999999999999,1.0,0.4,1.0,TwoStageWithin,0.3398,0.976
10,18-TwoStageBetween,exp_67,1.0,0.1092,1.0,0.5,0.5,0.72,0.51,0.52,0.0,0.42,1.0,TwoStageWithin,0.6251,0.6929
11,18-TwoStageBetween,catch_7,0.0,0.2058,1.0,0.5,0.5,0.28,0.48,0.52,1.0,0.21,0.0,TwoStageWithin,0.3519,0.028
12,18-TwoStageBetween,exp_98,1.0,0.3409,0.0,0.6,0.4,0.58,0.38,0.6900000000000001,0.0,0.49,1.0,TwoStageWithin,0.6381,0.6515
13,18-TwoStageBetween,exp_27,1.0,0.0567,1.0,0.5,0.5,0.3,0.17,0.3,0.0,0.2,1.0,TwoStageWithin,0.6557,0.5549
